       Omega           X           Y   Intensity        Size       Eig 1       Eig 2       Eig 3      Eigv 1      Eigv 2      Eigv 3      Eigv 4      Eigv 5      Eigv 6      Eigv 7      Eigv 8      Eigv 9
      129.00     1110.00     1047.00     421.217       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      130.00      892.00     1200.00    2209.048       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      133.00     1286.00     1073.00     439.938       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      136.50      776.50      800.50     205.928       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       0.500       0.500       0.000       0.500       0.500
      137.00      892.00     1200.00    1170.047       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      140.00     1286.00     1073.00     533.541       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      145.00      788.00      789.00     327.613     116.000       4.029       3.627       2.182       0.997       0.058       0.045      -0.009      -0.513       0.858      -0.073       0.856       0.511
      148.00      783.00      793.00     215.289       2.000       0.500       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000       1.000       0.000       0.000
      152.00      789.00      791.00     215.289       3.000       0.236       0.333       0.471       0.707       0.000      -0.707       0.707       0.000       0.707       0.000       1.000       0.000
      152.00      782.50      793.50     299.532      31.000       2.128       1.750       1.856       0.793       0.092       0.133      -0.115      -0.196       0.746      -0.014       0.050      -0.217
      142.00     1304.50     1213.50     196.568       2.000       0.236       0.333       0.118       0.854       0.000      -0.354      -0.354       0.500      -0.354       0.000       0.500       0.500
      144.00     1306.00     1206.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      145.00     1306.00     1200.00     205.928       3.000       0.236       0.333       0.236       0.707       0.000       0.707      -0.707       0.000       0.707       0.000      -1.000       0.000
      145.00     1308.00     1211.00     224.649       5.000       0.693       0.638       0.602       0.000       0.707       0.707       0.953      -0.214       0.214       0.303       0.674      -0.674
      146.00     1304.00     1203.00     215.289       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      147.00     1297.00     1202.00     205.928       6.000       1.051       0.642       1.123       0.914       0.268       0.305      -0.316      -0.000       0.949       0.254      -0.963       0.085
      147.00     1302.00     1207.00     280.811      28.000       2.263       2.390       1.908       0.624       0.381      -0.682       0.724       0.045       0.688       0.293      -0.923      -0.248
      147.00     1310.00     1218.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      150.00     1295.00     1202.00     224.649       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      151.00     1301.00     1201.00     290.172      25.000       1.632       2.566       2.160       0.592       0.198      -0.781       0.765      -0.442       0.468      -0.253      -0.875      -0.413
      151.00     1302.00     1207.00     365.055      88.000       3.368       2.409       4.211       0.019      -0.412      -0.911       0.414       0.833      -0.368       0.910      -0.370       0.187
      153.00     1301.00     1210.00     430.577     666.000       8.049       6.242       7.582       0.324      -0.829      -0.457      -0.388      -0.557       0.735       0.863       0.061       0.502
      154.00     1305.00     1207.00     355.694     243.000       5.498       3.816       4.088       0.032       0.709       0.704      -0.634      -0.530       0.563      -0.773       0.465      -0.433
      155.00     1313.00     1211.00     205.928       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      157.00     1288.00     1207.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      157.00     1302.00     1207.00     449.298     233.000       5.080       5.095       5.016       0.203      -0.562      -0.802      -0.271      -0.819       0.505       0.941      -0.115       0.319
      158.00     1297.00     1212.00     402.496      75.000       2.721       3.239       4.064       0.349      -0.664      -0.661       0.533      -0.439       0.723      -0.770      -0.605       0.201
      158.00     1297.00     1215.00     402.496     108.000       2.418       5.540       3.121       0.390       0.260       0.883      -0.910      -0.035       0.413      -0.139       0.965      -0.223
      159.00     1300.00     1210.00     477.379    1003.000       8.880      10.763       6.800      -0.161       0.331       0.930      -0.077      -0.943       0.323       0.984      -0.020       0.178
      161.00     1299.00     1207.00     439.938     399.000       9.155      10.301       5.420      -0.082       0.441      -0.894       0.083       0.897       0.435       0.993      -0.038      -0.110
      163.00     1302.00     1209.00     439.938     369.000       6.008       8.859       5.399       0.173      -0.677      -0.715      -0.320       0.648      -0.691       0.931       0.348      -0.105
      164.33     1298.83     1210.33     439.938     169.833       4.268       3.454       3.925       0.111      -0.475      -0.065       0.156      -0.289       0.094      -0.004       0.081       0.323
      163.00     1297.00     1216.00     374.415     113.000       5.174       4.120       2.660       0.108      -0.075       0.991      -0.667      -0.745       0.016       0.737      -0.663      -0.131
      166.00     1290.00     1202.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      169.00     1294.00     1210.00     383.775      21.000       1.520       1.125       1.600      -0.026       0.986       0.163      -0.063       0.161      -0.985       0.998       0.036      -0.058
      169.00     1300.00     1219.00     234.009       4.000       0.500       0.354       0.354       0.000      -0.707      -0.707       0.000      -0.707       0.707      -1.000       0.000       0.000
      170.00     1299.00     1210.00     411.856     276.000       6.052       4.281       6.704      -0.065      -0.946      -0.318      -0.306       0.322      -0.896       0.950       0.039      -0.311
      172.00     1296.00     1210.00     411.856     433.000       6.074       5.003       9.725      -0.149      -0.965       0.214       0.211       0.180       0.961       0.966      -0.189      -0.177
      172.00     1296.00     1213.00     421.217     151.000       4.429       3.647       5.219       0.008       0.987      -0.160       0.224       0.154       0.962       0.974      -0.044      -0.220
      173.00     1285.00     1210.00     187.207       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      176.00     1298.50     1212.00     336.973      42.000       2.337       2.030       1.959       0.069       0.893       0.302       0.993      -0.027      -0.078       0.045      -0.308       0.891
      177.00     1293.00     1222.00     205.928       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      178.00     1293.00     1213.00     299.532     107.000       3.366       4.251       3.061      -0.368      -0.744       0.558       0.095      -0.627      -0.773       0.925      -0.231       0.301
      178.00     1292.00     1216.00     299.532     144.000       4.803       3.994       4.187       0.959       0.212       0.189      -0.253       0.336       0.907       0.129      -0.918       0.375
      178.00     1288.00     1218.50     262.090       4.000       0.956       0.241       0.319       0.325      -0.367       0.404      -0.325       0.297      -0.321       0.303      -0.271       0.371
      179.00     1293.00     1210.00     318.253      50.000       2.690       2.960       2.076       0.317       0.279      -0.906       0.388       0.834       0.393       0.865      -0.476       0.156
      179.67     1296.00     1213.33     318.253      61.000       2.953       2.366       2.599       0.043      -0.768      -0.064      -0.056       0.011      -0.115       0.985       0.002       0.125
      180.00     1285.00     1220.00     196.568       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      180.50     1291.50     1221.00     262.090       8.500       1.759       0.796       0.860      -0.089      -0.433      -0.883       0.000       0.890      -0.436       0.008       0.028       0.084
      144.50      892.00     1200.00    1319.813       1.500       0.250       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      147.00     1286.00     1073.00     402.496       4.000       1.500       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      151.00      892.00     1200.00    1909.516       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      155.00     1286.00     1073.00     336.973       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      157.00      892.00     1200.00     879.875       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      162.00     1286.00     1073.00     449.298       2.000       0.500       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      166.00      892.00     1200.00    2508.580       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000       0.000       0.000       0.000       1.000
      169.00     1286.00     1073.00     496.100       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      173.00      892.00     1200.00    2798.752       3.000       1.000       0.000       0.000       1.000       0.000       0.000       0.000       0.000       1.000       0.000       1.000       0.000
      178.00      896.00      717.00     224.649       5.000       0.861       0.719       0.378       0.606       0.606      -0.515       0.707      -0.707       0.000      -0.365      -0.365      -0.857
      178.00      893.00      718.00     243.370       7.000       0.978       0.691       0.651       0.774       0.199       0.601      -0.569      -0.197       0.799       0.277      -0.960      -0.039
